"hotel","site","price","check_in_date"
"Hilton New York","priceline.com","148","2016-01-25"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-25"
"Doubletree Metropolitan","Expedia","121","2016-01-25"
"New York Marriott Marquis","Amoma.com","256","2016-01-25"
"Ramada Inn Eastside","Amoma.com","124","2016-01-25"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-25"
"Hampton Inn Manhattan-Seaport-Financial District","priceline.com","103","2016-01-25"
"Pod 39","Expedia","85","2016-01-25"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-25"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-25"
"Hudson","Venere.com","117","2016-01-25"
"Park Central","Hotels.com","119","2016-01-25"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-25"
"Blue Moon","Orbitz","","2016-01-26"
"Skyline Hotel","Orbitz","","2016-01-26"
"The Plaza","Venere.com","6,550","2016-01-26"
"Doubletree Guest Suites Times Square","HRS","","2016-01-26"
"TRYP By Wyndham Times Square South","Orbitz","","2016-01-26"
"The Leon Hotel","Orbitz","","2016-01-26"
"The Surrey","Orbitz","","2016-01-26"
"Trump International Hotel & Tower New York","Venere.com","2,800","2016-01-26"
"JW Marriott Essex House New York","Venere.com","1,274","2016-01-26"
"The San Carlos Hotel","Expedia","658","2016-01-26"
"The Kimberly Hotel","priceline.com","","2016-01-26"
"Wales","Venere.com","488","2016-01-26"
"Comfort Inn Chelsea","Venere.com","518","2016-01-26"
"Hampton Inn & Suites Rockville Centre","Orbitz","","2016-01-26"
"Crowne Plaza Times Square Manhattan","Official hotel website","529","2016-01-26"
"Home2 Suites by Hilton New York Long Island City Manhattan View","Venere.com","408","2016-01-26"
"Hotel Indigo New York City - Chelsea","Official hotel website","598","2016-01-26"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","351","2016-01-26"
"Holiday Inn Express Manhattan West","Official hotel website","325","2016-01-26"
"Comfort Inn Lower East Side","Official hotel website","617","2016-01-26"
"Holiday Inn Long Island City - Manhattan View","Official hotel website","358","2016-01-26"
"InterContinental New York Times Square","Official hotel website","658","2016-01-26"
"Holiday Inn Midtown 57th Street","Official hotel website","294","2016-01-26"
"Holiday Inn Express Queens - Maspeth","Official hotel website","290","2016-01-26"
"Holiday Inn Manhattan Financial District","Official hotel website","314","2016-01-26"
"Blue Moon","priceline.com","","2016-01-26"
"Skyline Hotel","otel.com","","2016-01-26"
"The Plaza","Orbitz","","2016-01-26"
"Doubletree Guest Suites Times Square","priceline.com","","2016-01-26"
"TRYP By Wyndham Times Square South","Easytobook","","2016-01-26"
"The Leon Hotel","Booking.com","","2016-01-26"
"The Surrey","priceline.com","","2016-01-26"
"Trump International Hotel & Tower New York","Orbitz","","2016-01-26"
"JW Marriott Essex House New York","Orbitz","","2016-01-26"
"The San Carlos Hotel","Orbitz","","2016-01-26"
"The Kimberly Hotel","otel.com","","2016-01-26"
"Wales","Orbitz","","2016-01-26"
"Comfort Inn Chelsea","Orbitz","","2016-01-26"
"Hampton Inn & Suites Rockville Centre","HRS","","2016-01-26"
"Crowne Plaza Times Square Manhattan","Orbitz","","2016-01-26"
"Home2 Suites by Hilton New York Long Island City Manhattan View","Orbitz","","2016-01-26"
"Hotel Indigo New York City - Chelsea","Orbitz","","2016-01-26"
"Holiday Inn Manhattan 6th Ave - Chelsea","Orbitz","","2016-01-26"
"Holiday Inn Express Manhattan West","Orbitz","","2016-01-26"
"Comfort Inn Lower East Side","Orbitz","","2016-01-26"
"Holiday Inn Long Island City - Manhattan View","Orbitz","","2016-01-26"
"InterContinental New York Times Square","Orbitz","","2016-01-26"
"Holiday Inn Midtown 57th Street","Orbitz","","2016-01-26"
"Holiday Inn Express Queens - Maspeth","Orbitz","","2016-01-26"
"Holiday Inn Manhattan Financial District","Orbitz","","2016-01-26"
"Blue Moon","otel.com","","2016-01-26"
"Skyline Hotel","GetaRoom","","2016-01-26"
"The Plaza","Hotels.com","","2016-01-26"
"Doubletree Guest Suites Times Square","otel.com","","2016-01-26"
"TRYP By Wyndham Times Square South","Expedia","","2016-01-26"
"The Leon Hotel","Hotels.com","","2016-01-26"
"The Surrey","GetaRoom","","2016-01-26"
"Trump International Hotel & Tower New York","otel.com","","2016-01-26"
"JW Marriott Essex House New York","HRS","","2016-01-26"
"The San Carlos Hotel","HRS","","2016-01-26"
"The Kimberly Hotel","GetaRoom","","2016-01-26"
"Wales","Easytobook","","2016-01-26"
"Comfort Inn Chelsea","priceline.com","","2016-01-26"
"Hampton Inn & Suites Rockville Centre","priceline.com","","2016-01-26"
"Crowne Plaza Times Square Manhattan","HRS","","2016-01-26"
"Home2 Suites by Hilton New York Long Island City Manhattan View","priceline.com","","2016-01-26"
"Hotel Indigo New York City - Chelsea","HRS","","2016-01-26"
"Holiday Inn Manhattan 6th Ave - Chelsea","HRS","","2016-01-26"
"Holiday Inn Express Manhattan West","Expedia","","2016-01-26"
"Comfort Inn Lower East Side","Easytobook","","2016-01-26"
"Holiday Inn Long Island City - Manhattan View","HRS","","2016-01-26"
"InterContinental New York Times Square","HRS","","2016-01-26"
"Holiday Inn Midtown 57th Street","HRS","","2016-01-26"
"Holiday Inn Express Queens - Maspeth","HRS","","2016-01-26"
"Holiday Inn Manhattan Financial District","priceline.com","","2016-01-26"
"Grand Hyatt","priceline.com","177","2016-01-27"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","222","2016-01-27"
"Hyatt Times Square New York","priceline.com","440","2016-01-27"
"Novotel New York Times Square","Official hotel website","267","2016-01-27"
"Royalton","TabletHotels","236","2016-01-27"
"Hampton Inn New York - 35th Street - Empire State Building","Expedia","236","2016-01-27"
"Crowne Plaza Times Square Manhattan","Official hotel website","237","2016-01-27"
"Waldorf Astoria","priceline.com","326","2016-01-27"
"The Leon Hotel","priceline.com","201","2016-01-27"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","217","2016-01-27"
"Courtyard New York Manhattan - Chelsea","Official hotel website","276","2016-01-27"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","233","2016-01-27"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-27"
"Cassa Times Square","priceline.com","207","2016-01-27"
"Hotel 32 32","Hotwire","204","2016-01-27"
"The Kitano New York","priceline.com","217","2016-01-27"
"Sofitel New York","Official hotel website","276","2016-01-27"
"New York Marriott Downtown","Official hotel website","252","2016-01-27"
"Ameritania at Times Square","Booking.com","197","2016-01-27"
"Fairfield Inn & Suites New York Manhattan - Times Square","Official hotel website","311","2016-01-27"
"nyma the new york manhattan hotel","priceline.com","188","2016-01-27"
"Bryant Park","Hotwire","292","2016-01-27"
"Hyatt Union Square New York","Hotwire","201","2016-01-27"
"Candlewood Times Square","Official hotel website","196","2016-01-27"
"Holiday Inn Express Manhattan Times Square South","Expedia","223","2016-01-27"
"Grand Hyatt","Orbitz","177","2016-01-27"
"Hampton Inn Manhattan-Seaport-Financial District","priceline.com","222","2016-01-27"
"Hyatt Times Square New York","Orbitz","","2016-01-27"
"Novotel New York Times Square","Hotwire","267","2016-01-27"
"Royalton","priceline.com","236","2016-01-27"
"Hampton Inn New York - 35th Street - Empire State Building","Travelocity","236","2016-01-27"
"Crowne Plaza Times Square Manhattan","Orbitz","237","2016-01-27"
"Waldorf Astoria","Hotwire","326","2016-01-27"
"The Leon Hotel","Travelocity","237","2016-01-27"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","217","2016-01-27"
"Courtyard New York Manhattan - Chelsea","Booking.com","276","2016-01-27"
"Four Points by Sheraton Midtown - Times Square","Expedia","233","2016-01-27"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-27"
"Cassa Times Square","Orbitz","","2016-01-27"
"Hotel 32 32","Orbitz","283","2016-01-27"
"The Kitano New York","Orbitz","217","2016-01-27"
"Sofitel New York","Venere.com","276","2016-01-27"
"New York Marriott Downtown","Hotwire","252","2016-01-27"
"Ameritania at Times Square","Hotwire","197","2016-01-27"
"Fairfield Inn & Suites New York Manhattan - Times Square","Orbitz","311","2016-01-27"
"nyma the new york manhattan hotel","Hoteling","197","2016-01-27"
"Bryant Park","TabletHotels","292","2016-01-27"
"Hyatt Union Square New York","TabletHotels","201","2016-01-27"
"Candlewood Times Square","Venere.com","196","2016-01-27"
"Holiday Inn Express Manhattan Times Square South","priceline.com","223","2016-01-27"
"Grand Hyatt","Hoteling","179","2016-01-27"
"Hampton Inn Manhattan-Seaport-Financial District","BookIt.com","222","2016-01-27"
"Hyatt Times Square New York","Travelocity","","2016-01-27"
"Novotel New York Times Square","roomer","298","2016-01-27"
"Royalton","otel.com","328","2016-01-27"
"Hampton Inn New York - 35th Street - Empire State Building","Hotwire","236","2016-01-27"
"Crowne Plaza Times Square Manhattan","Hotels.com","239","2016-01-27"
"Waldorf Astoria","Travelocity","326","2016-01-27"
"The Leon Hotel","Hotwire","237","2016-01-27"
"Four Points by Sheraton Manhattan SoHo Village","Hotwire","217","2016-01-27"
"Courtyard New York Manhattan - Chelsea","Hoteling","424","2016-01-27"
"Four Points by Sheraton Midtown - Times Square","Orbitz","233","2016-01-27"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-27"
"Cassa Times Square","CheapTickets","","2016-01-27"
"Hotel 32 32","CheapTickets","283","2016-01-27"
"The Kitano New York","Hotwire","217","2016-01-27"
"Sofitel New York","Prestigia","420","2016-01-27"
"New York Marriott Downtown","Prestigia","349","2016-01-27"
"Ameritania at Times Square","priceline.com","197","2016-01-27"
"Fairfield Inn & Suites New York Manhattan - Times Square","roomer","465","2016-01-27"
"nyma the new york manhattan hotel","Orbitz","","2016-01-27"
"Bryant Park","Splendia","292","2016-01-27"
"Hyatt Union Square New York","Venere.com","201","2016-01-27"
"Candlewood Times Square","Hotels.com","198","2016-01-27"
"Holiday Inn Express Manhattan Times Square South","Orbitz","223","2016-01-27"
"Hampton Inn Manhattan - Times Square North","BookIt.com","120","2016-01-28"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-28"
"The Hotel at Times Square","priceline.com","104","2016-01-28"
"La Quinta Inn & Suites Manhattan","Official hotel website","104","2016-01-28"
"Royalton","TabletHotels","180","2016-01-28"
"Crowne Plaza Times Square Manhattan","Official hotel website","124","2016-01-28"
"The Leon Hotel","priceline.com","111","2016-01-28"
"Warwick New York","priceline.com","163","2016-01-28"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-28"
"Hotel Pennsylvania","Official hotel website","119","2016-01-28"
"Hilton New York","Hotwire","148","2016-01-28"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","112","2016-01-28"
"Doubletree Metropolitan","Hotwire","121","2016-01-28"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","BookIt.com","138","2016-01-28"
"Courtyard New York Manhattan - Chelsea","Official hotel website","110","2016-01-28"
"Pod 39","priceline.com","84","2016-01-28"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","98","2016-01-28"
"Hudson","Hotwire","111","2016-01-28"
"Park Central","Orbitz","119","2016-01-28"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-28"
"Cassa Times Square","Orbitz","","2016-01-28"
"Hotel 32 32","CheapTickets","162","2016-01-28"
"The Kitano New York","priceline.com","177","2016-01-28"
"Sofitel New York","Official hotel website","237","2016-01-28"
"Edison","Hotwire","100","2016-01-28"
"Hampton Inn Manhattan - Times Square North","Orbitz","120","2016-01-28"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-28"
"The Hotel at Times Square","otel.com","111","2016-01-28"
"La Quinta Inn & Suites Manhattan","priceline.com","104","2016-01-28"
"Royalton","priceline.com","180","2016-01-28"
"Crowne Plaza Times Square Manhattan","priceline.com","111","2016-01-28"
"The Leon Hotel","Hotwire","131","2016-01-28"
"Warwick New York","Amoma.com","164","2016-01-28"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-28"
"Hotel Pennsylvania","otel.com","87","2016-01-28"
"Hilton New York","Hotels.com","148","2016-01-28"
"Four Points by Sheraton Manhattan SoHo Village","Hotwire","112","2016-01-28"
"Doubletree Metropolitan","priceline.com","121","2016-01-28"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Hotwire","138","2016-01-28"
"Courtyard New York Manhattan - Chelsea","Booking.com","110","2016-01-28"
"Pod 39","Hotwire","84","2016-01-28"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","98","2016-01-28"
"Hudson","BookIt.com","111","2016-01-28"
"Park Central","Travelocity","119","2016-01-28"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-28"
"Cassa Times Square","priceline.com","","2016-01-28"
"Hotel 32 32","Orbitz","177","2016-01-28"
"The Kitano New York","Orbitz","177","2016-01-28"
"Sofitel New York","Venere.com","237","2016-01-28"
"Edison","priceline.com","100","2016-01-28"
"Hampton Inn Manhattan - Times Square North","priceline.com","120","2016-01-28"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-28"
"The Hotel at Times Square","Hoteling","125","2016-01-28"
"La Quinta Inn & Suites Manhattan","Hoteling","124","2016-01-28"
"Royalton","Hotwire","193","2016-01-28"
"Crowne Plaza Times Square Manhattan","Hotwire","124","2016-01-28"
"The Leon Hotel","Hotels.com","132","2016-01-28"
"Warwick New York","GetaRoom","164","2016-01-28"
"TRYP By Wyndham Times Square South","Venere.com","207","2016-01-28"
"Hotel Pennsylvania","Travelocity","118","2016-01-28"
"Hilton New York","priceline.com","148","2016-01-28"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","112","2016-01-28"
"Doubletree Metropolitan","Orbitz","121","2016-01-28"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Expedia","138","2016-01-28"
"Courtyard New York Manhattan - Chelsea","Hoteling","153","2016-01-28"
"Pod 39","Venere.com","85","2016-01-28"
"Four Points by Sheraton Midtown - Times Square","Expedia","103","2016-01-28"
"Hudson","Travelocity","111","2016-01-28"
"Park Central","priceline.com","119","2016-01-28"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-28"
"Cassa Times Square","CheapTickets","","2016-01-28"
"Hotel 32 32","Travelocity","","2016-01-28"
"The Kitano New York","Hotwire","177","2016-01-28"
"Sofitel New York","Prestigia","275","2016-01-28"
"Edison","Expedia","100","2016-01-28"
"The Hotel at Times Square","priceline.com","104","2016-01-29"
"Grand Hyatt","priceline.com","143","2016-01-29"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-29"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-29"
"The Jane","Travelocity","95","2016-01-29"
"Novotel New York Times Square","Official hotel website","133","2016-01-29"
"Royalton","TabletHotels","180","2016-01-29"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-29"
"The Leon Hotel","priceline.com","111","2016-01-29"
"Distrikt Hotel","Expedia","128","2016-01-29"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-29"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-29"
"Hotel Pennsylvania","Official hotel website","118","2016-01-29"
"Hilton New York","Hotwire","148","2016-01-29"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-29"
"Doubletree Metropolitan","Hotwire","121","2016-01-29"
"New York Marriott Marquis","Official hotel website","160","2016-01-29"
"Ramada Inn Eastside","priceline.com","104","2016-01-29"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-29"
"Pod 39","priceline.com","84","2016-01-29"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-29"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-29"
"Hudson","Expedia","117","2016-01-29"
"Park Central","priceline.com","119","2016-01-29"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-29"
"The Hotel at Times Square","otel.com","111","2016-01-29"
"Grand Hyatt","otel.com","153","2016-01-29"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-29"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-29"
"The Jane","Hotels.com","96","2016-01-29"
"Novotel New York Times Square","Hotwire","133","2016-01-29"
"Royalton","priceline.com","182","2016-01-29"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-29"
"The Leon Hotel","Hotwire","131","2016-01-29"
"Distrikt Hotel","Orbitz","128","2016-01-29"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-29"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-29"
"Hotel Pennsylvania","otel.com","107","2016-01-29"
"Hilton New York","Hotels.com","148","2016-01-29"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-29"
"Doubletree Metropolitan","priceline.com","121","2016-01-29"
"New York Marriott Marquis","priceline.com","160","2016-01-29"
"Ramada Inn Eastside","HotelTravel","107","2016-01-29"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-29"
"Pod 39","Hotwire","84","2016-01-29"
"Courtyard New York Times Square West","Hotwire","118","2016-01-29"
"Four Points by Sheraton Midtown - Times Square","Hotwire","94","2016-01-29"
"Hudson","Travelocity","117","2016-01-29"
"Park Central","Hotwire","119","2016-01-29"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-29"
"The Hotel at Times Square","Amoma.com","124","2016-01-29"
"Grand Hyatt","Orbitz","158","2016-01-29"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-29"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-29"
"The Jane","Booking.com","98","2016-01-29"
"Novotel New York Times Square","Amoma.com","276","2016-01-29"
"Royalton","Hotwire","193","2016-01-29"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-29"
"The Leon Hotel","Expedia","131","2016-01-29"
"Distrikt Hotel","Venere.com","128","2016-01-29"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-29"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-29"
"Hotel Pennsylvania","Hotels.com","119","2016-01-29"
"Hilton New York","priceline.com","148","2016-01-29"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-29"
"Doubletree Metropolitan","Expedia","121","2016-01-29"
"New York Marriott Marquis","Amoma.com","256","2016-01-29"
"Ramada Inn Eastside","Amoma.com","124","2016-01-29"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-29"
"Pod 39","Expedia","85","2016-01-29"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-29"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-29"
"Hudson","Venere.com","117","2016-01-29"
"Park Central","Hotels.com","119","2016-01-29"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-29"
"Blue Moon","Orbitz","","2016-01-30"
"Skyline Hotel","Orbitz","","2016-01-30"
"The Plaza","Venere.com","6,550","2016-01-30"
"Doubletree Guest Suites Times Square","HRS","","2016-01-30"
"TRYP By Wyndham Times Square South","Orbitz","","2016-01-30"
"The Leon Hotel","Orbitz","","2016-01-30"
"The Surrey","Orbitz","","2016-01-30"
"Trump International Hotel & Tower New York","Venere.com","2,800","2016-01-30"
"JW Marriott Essex House New York","Venere.com","1,274","2016-01-30"
"The San Carlos Hotel","Expedia","658","2016-01-30"
"The Kimberly Hotel","priceline.com","","2016-01-30"
"Wales","Venere.com","488","2016-01-30"
"Comfort Inn Chelsea","Venere.com","518","2016-01-30"
"Hampton Inn & Suites Rockville Centre","Orbitz","","2016-01-30"
"Crowne Plaza Times Square Manhattan","Official hotel website","529","2016-01-30"
"Home2 Suites by Hilton New York Long Island City Manhattan View","Venere.com","408","2016-01-30"
"Hotel Indigo New York City - Chelsea","Official hotel website","598","2016-01-30"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","351","2016-01-30"
"Holiday Inn Express Manhattan West","Official hotel website","325","2016-01-30"
"Comfort Inn Lower East Side","Official hotel website","617","2016-01-30"
"Holiday Inn Long Island City - Manhattan View","Official hotel website","358","2016-01-30"
"InterContinental New York Times Square","Official hotel website","658","2016-01-30"
"Holiday Inn Midtown 57th Street","Official hotel website","294","2016-01-30"
"Holiday Inn Express Queens - Maspeth","Official hotel website","290","2016-01-30"
"Holiday Inn Manhattan Financial District","Official hotel website","314","2016-01-30"
"Blue Moon","priceline.com","","2016-01-30"
"Skyline Hotel","otel.com","","2016-01-30"
"The Plaza","Orbitz","","2016-01-30"
"Doubletree Guest Suites Times Square","priceline.com","","2016-01-30"
"TRYP By Wyndham Times Square South","Easytobook","","2016-01-30"
"The Leon Hotel","Booking.com","","2016-01-30"
"The Surrey","priceline.com","","2016-01-30"
"Trump International Hotel & Tower New York","Orbitz","","2016-01-30"
"JW Marriott Essex House New York","Orbitz","","2016-01-30"
"The San Carlos Hotel","Orbitz","","2016-01-30"
"The Kimberly Hotel","otel.com","","2016-01-30"
"Wales","Orbitz","","2016-01-30"
"Comfort Inn Chelsea","Orbitz","","2016-01-30"
"Hampton Inn & Suites Rockville Centre","HRS","","2016-01-30"
"Crowne Plaza Times Square Manhattan","Orbitz","","2016-01-30"
"Home2 Suites by Hilton New York Long Island City Manhattan View","Orbitz","","2016-01-30"
"Hotel Indigo New York City - Chelsea","Orbitz","","2016-01-30"
"Holiday Inn Manhattan 6th Ave - Chelsea","Orbitz","","2016-01-30"
"Holiday Inn Express Manhattan West","Orbitz","","2016-01-30"
"Comfort Inn Lower East Side","Orbitz","","2016-01-30"
"Holiday Inn Long Island City - Manhattan View","Orbitz","","2016-01-30"
"InterContinental New York Times Square","Orbitz","","2016-01-30"
"Holiday Inn Midtown 57th Street","Orbitz","","2016-01-30"
"Holiday Inn Express Queens - Maspeth","Orbitz","","2016-01-30"
"Holiday Inn Manhattan Financial District","Orbitz","","2016-01-30"
"Blue Moon","otel.com","","2016-01-30"
"Skyline Hotel","GetaRoom","","2016-01-30"
"The Plaza","Hotels.com","","2016-01-30"
"Doubletree Guest Suites Times Square","otel.com","","2016-01-30"
"TRYP By Wyndham Times Square South","Expedia","","2016-01-30"
"The Leon Hotel","Hotels.com","","2016-01-30"
"The Surrey","GetaRoom","","2016-01-30"
"Trump International Hotel & Tower New York","otel.com","","2016-01-30"
"JW Marriott Essex House New York","HRS","","2016-01-30"
"The San Carlos Hotel","HRS","","2016-01-30"
"The Kimberly Hotel","GetaRoom","","2016-01-30"
"Wales","Easytobook","","2016-01-30"
"Comfort Inn Chelsea","priceline.com","","2016-01-30"
"Hampton Inn & Suites Rockville Centre","priceline.com","","2016-01-30"
"Crowne Plaza Times Square Manhattan","HRS","","2016-01-30"
"Home2 Suites by Hilton New York Long Island City Manhattan View","priceline.com","","2016-01-30"
"Hotel Indigo New York City - Chelsea","HRS","","2016-01-30"
"Holiday Inn Manhattan 6th Ave - Chelsea","HRS","","2016-01-30"
"Holiday Inn Express Manhattan West","Expedia","","2016-01-30"
"Comfort Inn Lower East Side","Easytobook","","2016-01-30"
"Holiday Inn Long Island City - Manhattan View","HRS","","2016-01-30"
"InterContinental New York Times Square","HRS","","2016-01-30"
"Holiday Inn Midtown 57th Street","HRS","","2016-01-30"
"Holiday Inn Express Queens - Maspeth","HRS","","2016-01-30"
"Holiday Inn Manhattan Financial District","priceline.com","","2016-01-30"
"The Hotel at Times Square","priceline.com","104","2016-01-31"
"Grand Hyatt","priceline.com","143","2016-01-31"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-31"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-31"
"The Jane","Travelocity","95","2016-01-31"
"Novotel New York Times Square","Official hotel website","133","2016-01-31"
"Royalton","TabletHotels","180","2016-01-31"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-31"
"The Leon Hotel","priceline.com","111","2016-01-31"
"Distrikt Hotel","Expedia","128","2016-01-31"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","103","2016-01-31"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-31"
"Hotel Pennsylvania","Official hotel website","118","2016-01-31"
"Hilton New York","Hotwire","148","2016-01-31"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-31"
"Doubletree Metropolitan","Hotwire","121","2016-01-31"
"New York Marriott Marquis","Official hotel website","161","2016-01-31"
"Ramada Inn Eastside","priceline.com","104","2016-01-31"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-31"
"Pod 39","priceline.com","84","2016-01-31"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-31"
"Four Points by Sheraton Midtown - Times Square","Hotwire","94","2016-01-31"
"Hudson","Expedia","117","2016-01-31"
"Park Central","priceline.com","119","2016-01-31"
"Paramount","Hotwire","112","2016-01-31"
"The Hotel at Times Square","otel.com","111","2016-01-31"
"Grand Hyatt","otel.com","153","2016-01-31"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-31"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-31"
"The Jane","Hotels.com","96","2016-01-31"
"Novotel New York Times Square","Hotwire","133","2016-01-31"
"Royalton","priceline.com","182","2016-01-31"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-31"
"The Leon Hotel","Hotwire","131","2016-01-31"
"Distrikt Hotel","Orbitz","128","2016-01-31"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotwire","102","2016-01-31"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-31"
"Hotel Pennsylvania","otel.com","107","2016-01-31"
"Hilton New York","Hotels.com","148","2016-01-31"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-31"
"Doubletree Metropolitan","priceline.com","121","2016-01-31"
"New York Marriott Marquis","priceline.com","160","2016-01-31"
"Ramada Inn Eastside","HotelTravel","107","2016-01-31"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-31"
"Pod 39","Hotwire","84","2016-01-31"
"Courtyard New York Times Square West","Hotwire","118","2016-01-31"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-31"
"Hudson","Travelocity","117","2016-01-31"
"Park Central","Hotwire","119","2016-01-31"
"Paramount","priceline.com","112","2016-01-31"
"The Hotel at Times Square","Amoma.com","124","2016-01-31"
"Grand Hyatt","Orbitz","158","2016-01-31"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-31"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-31"
"The Jane","Booking.com","98","2016-01-31"
"Novotel New York Times Square","Amoma.com","276","2016-01-31"
"Royalton","Hotwire","193","2016-01-31"
"Crowne Plaza Times Square Manhattan","Expedia","143","2016-01-31"
"The Leon Hotel","Expedia","131","2016-01-31"
"Distrikt Hotel","Venere.com","128","2016-01-31"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-31"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-31"
"Hotel Pennsylvania","Hotels.com","119","2016-01-31"
"Hilton New York","priceline.com","148","2016-01-31"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-31"
"Doubletree Metropolitan","Expedia","121","2016-01-31"
"New York Marriott Marquis","Amoma.com","259","2016-01-31"
"Ramada Inn Eastside","Amoma.com","124","2016-01-31"
"Courtyard New York Manhattan - Chelsea","Amoma.com","188","2016-01-31"
"Pod 39","Expedia","85","2016-01-31"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-31"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","95","2016-01-31"
"Hudson","Venere.com","117","2016-01-31"
"Park Central","Hotels.com","119","2016-01-31"
"Paramount","Venere.com","112","2016-01-31"
